shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
16,SalVentAttn,22,0.3437231064446776,0.001320072152116747,3.504099518489446e-06,4.038642829487998e-06,0.0003414756063353267
16,Limbic,12,0.3722343295254105,0.0019444948477758156,4.865249054480377e-06,4.263425187198501e-06,0.00040663202686061256
16,Cont,30,0.35263710502856166,0.0018513183056967756,4.7595880845704484e-06,3.6746653483426035e-06,0.0003740523111937366
16,Default,46,0.3751959616075716,0.002805782923624094,6.070145439027964e-06,5.010896025965178e-06,0.0005013783302624088
17,Vis,29,0.4146317661918211,0.006068154561868121,6.52281777904535e-06,6.234448833880825e-06,0.0005891608713643578
17,SomMot,35,0.4250518986501673,0.002173843224512684,3.495531845787547e-06,2.803680642266606e-06,0.0002798840674480988
17,DorsAttn,26,0.40376669377591,0.00289212942696868,4.355194041643743e-06,3.742561790892539e-06,0.0003674738664303716
17,SalVentAttn,22,0.39863186356693475,0.0024385457277091814,3.58230199591321e-06,3.5357238366998135e-06,0.00032424205049445945
17,Limbic,12,0.34396648233180976,0.0018810531445388598,5.1733075151247725e-06,3.773136919519343e-06,0.0003979422217129666
17,Cont,30,0.3763197291393501,0.002563411556913023,5.851295425623492e-06,4.109758533729898e-06,0.00043954917888704734
17,Default,46,0.34165722546987454,0.003017887503051517,5.368601826864094e-06,5.013113616215311e-06,0.00047073261743959724
18,Vis,29,0.33060796916026747,0.003869061935394707,7.934538858718587e-06,4.814426573107804e-06,0.0005767619419345367
18,SomMot,35,0.33201414527535794,0.0021530318580794314,3.6144197911838646e-06,3.2029192566024914e-06,0.0003069216891473416
18,DorsAttn,26,0.33344715996704105,0.0034829898232202,5.148408797122069e-06,4.7304018273627635e-06,0.00044957220473953714
18,SalVentAttn,22,0.33511602914592936,0.0021908303317842042,3.7012464823469253e-06,4.340957198073072e-06,0.00036166651264037954
18,Limbic,12,0.42164636616596324,0.003388169659023504,5.623491450702185e-06,3.891920913397033e-06,0.0004131289665124089
18,Cont,30,0.38384465249900934,0.0033471322777203854,4.574687673494747e-06,3.849458074851948e-06,0.00038126961693243325
18,Default,46,0.36520369288140847,0.005702762321126844,6.015632985037167e-06,5.627300782610671e-06,0.0005265061135433767
